iter, cost
1,0.000265015
2,0.000265014
3,0.000265014
4,0.000265013
5,0.000265013
6,0.000265012
7,0.000265012
8,0.000265011
9,0.000265011
10,0.00026501
11,0.00026501
12,0.000265009
13,0.000265009
14,0.000265008
15,0.000265008
16,0.000265007
17,0.000265007
18,0.000265006
19,0.000265006
20,0.000265005
21,0.000265005
22,0.000265004
23,0.000265004
24,0.000265003
25,0.000265003
26,0.000265002
27,0.000265002
28,0.000265001
29,0.000265001
30,0.000265
31,0.000265
32,0.000264999
33,0.000264999
34,0.000264998
35,0.000264998
36,0.000264997
37,0.000264997
38,0.000264996
39,0.000264996
40,0.000264995
41,0.000264995
42,0.000264994
43,0.000264994
44,0.000264993
45,0.000264993
46,0.000264992
47,0.000264992
48,0.000264991
49,0.000264991
50,0.00026499
51,0.00026499
52,0.000264989
53,0.000264989
54,0.000264988
55,0.000264988
56,0.000264987
57,0.000264987
58,0.000264986
59,0.000264986
60,0.000264986
61,0.000264985
62,0.000264985
63,0.000264984
64,0.000264984
65,0.000264983
66,0.000264983
67,0.000264982
68,0.000264982
69,0.000264981
70,0.000264981
71,0.00026498
72,0.00026498
73,0.000264979
74,0.000264979
75,0.000264978
76,0.000264978
77,0.000264977
78,0.000264977
79,0.000264976
80,0.000264976
81,0.000264975
82,0.000264975
83,0.000264974
84,0.000264974
85,0.000264973
86,0.000264973
87,0.000264972
88,0.000264972
89,0.000264971
90,0.000264971
91,0.00026497
92,0.00026497
93,0.000264969
94,0.000264969
95,0.000264969
96,0.000264968
97,0.000264968
98,0.000264967
99,0.000264967
100,0.000264966
101,0.000264966
102,0.000264965
103,0.000264965
104,0.000264964
105,0.000264964
106,0.000264963
107,0.000264963
108,0.000264962
109,0.000264962
110,0.000264961
111,0.000264961
112,0.00026496
113,0.00026496
114,0.000264959
115,0.000264959
116,0.000264958
117,0.000264958
118,0.000264957
119,0.000264957
120,0.000264957
121,0.000264956
122,0.000264956
123,0.000264955
124,0.000264955
125,0.000264954
126,0.000264954
127,0.000264953
128,0.000264953
129,0.000264952
130,0.000264952
131,0.000264951
132,0.000264951
133,0.00026495
134,0.00026495
135,0.000264949
136,0.000264949
137,0.000264949
138,0.000264948
139,0.000264948
140,0.000264947
141,0.000264947
142,0.000264946
143,0.000264946
144,0.000264945
145,0.000264945
146,0.000264944
147,0.000264944
148,0.000264943
149,0.000264943
150,0.000264942
151,0.000264942
152,0.000264941
153,0.000264941
154,0.000264941
155,0.00026494
156,0.00026494
157,0.000264939
158,0.000264939
159,0.000264938
160,0.000264938
161,0.000264937
162,0.000264937
163,0.000264936
164,0.000264936
165,0.000264935
166,0.000264935
167,0.000264934
168,0.000264934
169,0.000264934
170,0.000264933
171,0.000264933
172,0.000264932
173,0.000264932
174,0.000264931
175,0.000264931
176,0.00026493
177,0.00026493
178,0.000264929
179,0.000264929
180,0.000264928
181,0.000264928
182,0.000264928
183,0.000264927
184,0.000264927
185,0.000264926
186,0.000264926
187,0.000264925
188,0.000264925
189,0.000264924
190,0.000264924
191,0.000264923
192,0.000264923
193,0.000264923
194,0.000264922
195,0.000264922
196,0.000264921
197,0.000264921
198,0.00026492
199,0.00026492
200,0.000264919
201,0.000264919
202,0.000264918
203,0.000264918
204,0.000264918
205,0.000264917
206,0.000264917
207,0.000264916
208,0.000264916
209,0.000264915
210,0.000264915
211,0.000264914
212,0.000264914
